Rank,Release Group,Worldwide,Domestic,%,Foreign,%
817,American Chaos,"$12,368","$12,368",100%,-,-
818,L'héritage de la chouette,"$12,316","$12,316",100%,-,-
819,The Most Unknown,"$12,119","$12,119",100%,-,-
820,The Last Race,"$11,947","$11,947",100%,-,-
821,Les Parents Terribles,"$11,818","$11,818",100%,-,-
822,Summer '03,"$11,746","$11,746",100%,-,-
823,Around India with a Movie Camera,"$11,568","$10,389",89.8%,"$1,179",10.2%
824,Rendezvous in July,"$11,321","$11,321",100%,-,-
825,Bullitt County,"$11,257","$11,257",100%,-,-
826,The Black Book of Father Dinis,"$11,057",-,-,"$11,057",100%
827,Edward II 2018 Re-release,"$11,055","$4,826",43.7%,"$6,229",56.3%
828,Class Rank,"$10,452","$10,452",100%,-,-
829,Mama Africa 2018 Re-release,"$10,430","$10,430",100%,-,-
830,The Advocates,"$10,402","$10,402",100%,-,-
831,The Quest of Alain Ducasse,"$9,627","$9,627",100%,-,-
832,Strangers on the Earth,"$9,518","$9,518",100%,-,-
833,El Mar La Mar,"$9,065","$9,065",100%,-,-
834,Step Up: High Water,"$9,005","$9,005",100%,-,-
835,Zoo Wars,"$8,998","$8,998",100%,-,-
836,Survivors Guide To Prison,"$8,982","$8,982",100%,-,-
837,Colossal Youth,"$8,968","$8,331",92.9%,$637,7.1%
838,Summer of '67,"$8,941","$8,941",100%,-,-
839,This is Congo,"$8,905","$7,051",79.2%,"$1,854",20.8%
840,Blood Feast,"$8,708","$8,708",100%,-,-
841,Furlough,"$8,472","$8,472",100%,-,-
842,Spiral,"$8,190","$8,190",100%,-,-
843,Legend of the Mountain,"$7,640","$7,640",100%,-,-
844,Shoah: Four Sisters,"$7,323","$7,323",100%,-,-
845,Tall: The American Skyscraper and Louis Sullivan,"$7,216","$7,216",100%,-,-
846,Painless,"$7,082","$7,082",100%,-,-
847,In Echo Park,"$7,072","$7,072",100%,-,-
848,In the Land of Pomegranates,"$7,014","$7,014",100%,-,-
849,Duck Butter,"$6,877","$6,877",100%,-,-
850,Calling All Earthlings,"$6,756","$6,756",100%,-,-
851,A Whale of a Tale,"$6,747","$6,747",100%,-,-
852,Iceman,"$6,719","$2,138",31.8%,"$4,581",68.2%
853,One Last Thing,"$6,232","$6,232",100%,-,-
854,I Am MLK Jr.,"$5,918","$5,918",100%,-,-
855,An Actor Prepares,"$5,891","$1,743",29.6%,"$4,148",70.4%
856,Are We Not Cats,"$5,518","$5,518",100%,-,-
857,Cuban Food Stories,"$5,434","$5,434",100%,-,-
858,In Searching,"$5,210","$5,210",100%,-,-
859,Intersection,"$5,116","$5,116",100%,-,-
860,Notes on an Appearance,"$5,065","$5,065",100%,-,-
861,The Texture of Falling,"$5,010","$5,010",100%,-,-
862,Social Animals,"$5,007","$5,007",100%,-,-
863,An L.A. Minute,"$5,004","$5,004",100%,-,-
864,The Other Side of Everything,"$4,685","$4,685",100%,-,-
865,The Long Dumb Road,"$4,667","$4,667",100%,-,-
866,Weightless,"$4,530","$4,461",98.5%,$69,1.5%
867,The Peacemaker,"$4,400","$4,400",100%,-,-
868,The Party's Just Beginning,"$4,371","$4,145",94.8%,$226,5.2%
869,Cocote,"$4,224","$3,815",90.3%,$409,9.7%
870,Stella's Last Weekend,"$4,215","$4,215",100%,-,-
871,Armed,"$3,948","$3,948",100%,-,-
872,American Dresser,"$3,895","$3,895",100%,-,-
873,The Second Time Around,"$3,837","$3,837",100%,-,-
874,Nelly,"$3,751","$3,751",100%,-,-
875,The Family,"$3,696","$3,696",100%,-,-
876,Fourplay,"$3,550","$3,550",100%,-,-
877,The Citizen 2018 Re-release,"$3,495","$3,495",100%,-,-
878,The Cage Fighter,"$3,392","$3,392",100%,-,-
879,Followers,"$3,350","$3,350",100%,-,-
880,Over the Limit,"$3,243","$3,243",100%,-,-
881,Game Changers,"$3,142","$3,142",100%,-,-
882,Hot to Trot,"$3,133","$3,133",100%,-,-
883,Nana,"$2,784","$2,784",100%,-,-
884,Straight Into a Storm,"$2,684","$2,684",100%,-,-
885,ACORN and the Firestorm,"$2,621","$2,621",100%,-,-
886,West Of The Jordan River,"$1,926","$1,926",100%,-,-
887,Finding Happiness,"$1,841","$1,841",100%,-,-
888,The Lost Village,"$1,780","$1,780",100%,-,-
889,Henchmen,"$1,469","$1,469",100%,-,-
890,That Way Madness Lies...,"$1,447","$1,447",100%,-,-
891,Beauty and the Beholder,"$1,368","$1,368",100%,-,-
892,Altered Perception,"$1,259","$1,259",100%,-,-
893,Two Men Went to War 2018 Re-release,"$1,227","$1,227",100%,-,-
894,Under the Turban,"$1,190","$1,190",100%,-,-
895,Half Brothers,"$1,100","$1,100",100%,-,-
896,Invisible Hands,"$1,034","$1,034",100%,-,-
897,TVTV: Video Revolutionaries,$812,$812,100%,-,-
898,Higher Power,$528,$528,100%,-,-
