Rank,Release Group,Worldwide,Domestic,%,Foreign,%
497,The Bolshoi Ballet: Live From Moscow - The Nutcracker,"$323,928","$323,928",100%,-,-
498,The Cured,"$323,776","$26,630",8.2%,"$297,146",91.8%
499,Damsel,"$323,235","$305,136",94.4%,"$18,099",5.6%
500,Okko's Inn,"$317,547","$134,787",42.4%,"$182,760",57.6%
501,Sauvage / Wild,"$317,536","$61,604",19.4%,"$255,932",80.6%
502,The Riot and the Dance,"$316,103","$316,103",100%,-,-
503,The Bolshoi Ballet: Live From Moscow - Romeo and Juliet,"$313,088","$313,088",100%,-,-
504,Great Performances at the Met: MET Opera: Magic Flute,"$307,686","$307,686",100%,-,-
505,The Mercy 2018 Re-release,"$306,205","$29,538",9.6%,"$276,667",90.4%
506,Showtime Championship Boxing: Deontay Wilder vs. Tyson Fury,"$304,482","$304,482",100%,-,-
507,The Bolshoi Ballet: Live From Moscow - Giselle,"$302,681","$302,681",100%,-,-
508,Sunset Blvd. 2018 Re-release,"$299,645","$299,645",100%,-,-
509,Harry Potter and the Sorcerer's Stone 2018 Re-release,"$295,917","$295,917",100%,-,-
510,More Than Funny,"$290,498","$290,498",100%,-,-
511,Best F(r)iends: Volume 1,"$290,064","$252,410",87%,"$37,654",13%
512,The Silence of Others,"$289,455","$67,986",23.5%,"$221,469",76.5%
513,Generation Wealth,"$287,709","$237,709",82.6%,"$50,000",17.4%
514,Skate Kitchen,"$287,307","$236,799",82.4%,"$50,508",17.6%
515,But Deliver Us from Evil,"$285,169","$285,169",100%,-,-
516,Disney's Newsies: The Broadway Musical! 2018 Re-release,"$282,429","$282,429",100%,-,-
517,Wonders of the Sea,"$279,415","$100,780",36.1%,"$178,635",63.9%
518,Science Fair,"$277,338","$276,195",99.6%,"$1,143",0.4%
519,The King,"$273,601","$259,291",94.8%,"$14,310",5.2%
520,The World Before Your Feet,"$268,644","$268,644",100%,-,-
521,Doctor Who,"$264,629","$264,629",100%,-,-
522,The Producers 2018 Re-release,"$263,277","$216,807",82.3%,"$46,470",17.7%
523,The Final Year,"$262,286","$191,900",73.2%,"$70,386",26.8%
524,Eating You Alive,"$260,534","$260,534",100%,-,-
525,Across the Universe 2018 Re-release,"$258,618","$258,618",100%,-,-
526,Big 2018 Re-release,"$258,507","$258,507",100%,-,-
527,Helicopter Eela,"$256,952","$71,971",28%,"$184,981",72%
528,Hot Summer Nights,"$246,133",-,-,"$246,133",100%
529,Harry Potter and the Chamber of Secrets 2018 Re-release,"$245,501","$245,501",100%,-,-
530,The Fireflies Are Gone,"$245,006","$245,006",100%,-,-
531,Dark River,"$239,182","$7,714",3.2%,"$231,468",96.8%
532,RWBY: Argus Limited,"$238,379","$238,379",100%,-,-
533,Alien Intrusion: Unmasking a Deception,"$237,411","$237,411",100%,-,-
534,Diamantino,"$235,041","$70,088",29.8%,"$164,953",70.2%
535,Superman 2018 Re-release,"$233,585","$233,585",100%,-,-
536,Bishôjo senshi Sailor Moon Super S Special,"$231,434","$231,434",100%,-,-
537,"Belle and Sebastian, Friends for Life 2018 Re-release","$229,983","$105,890",46%,"$124,093",54%
538,Studio 54,"$227,062","$199,767",88%,"$27,295",12%
539,BuyBust,"$223,720","$178,471",79.8%,"$45,249",20.2%
540,Little Pink House,"$220,948","$220,948",100%,-,-
541,Fragments of Truth,"$219,342","$219,342",100%,-,-
542,Harry Potter and the Prisoner of Azkaban 2018 Re-release,"$218,774","$218,774",100%,-,-
543,Dark Money,"$217,932","$217,932",100%,-,-
544,Getting Grace,"$217,812","$217,812",100%,-,-
545,The Treasure of the Sierra Madre,"$215,295","$215,295",100%,-,-
546,Agent Mr. Chan,"$208,351","$208,351",100%,-,-
547,The Dating Project,"$208,100","$208,100",100%,-,-
548,Heading Home: The Tale of Team Israel,"$207,533","$207,533",100%,-,-
549,Keep the Change,"$202,788","$202,788",100%,-,-
550,The Bolshoi Ballet: Live From Moscow - Coppélia,"$202,217","$202,217",100%,-,-
551,Gemini,"$200,340","$200,340",100%,-,-
552,Rebel Without a Cause 2018 Re-release,"$199,963","$199,963",100%,-,-
553,Madeline's Madeline,"$197,309","$185,576",94.1%,"$11,733",5.9%
