Rank,Release Group,Worldwide,Domestic,%,Foreign,%
68,The Empty Man,"$3,497,994","$2,940,461",84.1%,"$557,533",15.9%
69,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
70,The Rental,"$3,317,792","$1,637,548",49.4%,"$1,680,244",50.6%
71,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
72,Samsam,"$3,272,825","$53,273",1.6%,"$3,219,552",98.4%
73,Ava,"$3,207,103","$497,747",15.5%,"$2,709,356",84.5%
74,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
75,The Secret: Dare to Dream,"$3,134,693",-,-,"$3,134,693",100%
76,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,096,080","$2,482,000",80.2%,"$614,080",19.8%
77,Words on Bathroom Walls,"$2,545,934","$2,542,436",99.9%,"$3,498",0.1%
78,The Nightmare Before Christmas 2020 Re-release,"$2,342,526","$2,286,000",97.6%,"$56,526",2.4%
79,Relic,"$2,237,347","$1,047,083",46.8%,"$1,190,264",53.2%
80,Made in Italy,"$2,180,161","$101,339",4.6%,"$2,078,822",95.4%
81,The King of Staten Island,"$2,176,478",-,-,"$2,176,478",100%
82,The High Note,"$2,149,814",-,-,"$2,149,814",100%
83,The Outpost,"$2,011,660",-,-,"$2,011,660",100%
84,Jurassic Park 2020 Re-release,"$1,899,492","$1,386,600",73%,"$512,892",27%
85,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
86,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
87,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
88,2 Hearts,"$1,341,495","$1,341,495",100%,-,-
89,Saint Maud,"$1,340,825",-,-,"$1,340,825",100%
90,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
91,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.7%,"$411,438",33.3%
92,The Perfect Candidate,"$1,231,500",-,-,"$1,231,500",100%
93,Savage,"$1,183,965",-,-,"$1,183,965",100%
94,Kajillionaire,"$1,100,341","$531,430",48.3%,"$568,911",51.7%
95,Misbehaviour,"$1,087,755",-,-,"$1,087,755",100%
96,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
97,Love and Monsters,"$1,070,714","$1,070,714",100%,-,-
98,Hope Gap,"$1,056,908","$104,732",9.9%,"$952,176",90.1%
99,The Tax Collector,"$1,055,718","$942,666",89.3%,"$113,052",10.7%
100,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
101,The Last Shift,"$1,035,128","$1,034,467",99.9%,$661,<0.1%
102,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
103,The Vigil,"$935,484",-,-,"$935,484",100%
104,Riverdance 25th Anniversary Show,"$920,607","$81,879",8.9%,"$838,728",91.1%
105,Mafia Inc,"$889,863","$889,863",100%,-,-
106,Cut Throat City,"$864,928","$855,894",99%,"$9,034",1%
107,The Nest,"$820,520","$137,886",16.8%,"$682,634",83.2%
108,Babyteeth,"$817,712","$4,507",0.6%,"$813,205",99.4%
109,Possessor,"$816,145","$752,885",92.2%,"$63,260",7.8%
110,Shortcut,"$793,084","$793,084",100%,-,-
111,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
112,Palm Springs,"$741,554","$164,000",22.1%,"$577,554",77.9%
113,Toy Story 2020 Re-release,"$727,218","$727,000",100%,$218,<0.1%
114,"Monsters, Inc. 2020 Re-release","$726,000","$726,000",100%,-,-
115,The Addams Family 2020 Re-release,"$711,543","$678,926",95.4%,"$32,617",4.6%
116,The Shining 40th Anniversary,"$696,858",-,-,"$696,858",100%
117,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
118,Black Water: Abyss,"$656,976",-,-,"$656,976",100%
119,The Burnt Orange Heresy,"$634,806","$144,201",22.7%,"$490,605",77.3%
120,Mermaid in Paris,"$630,987","$1,988",0.3%,"$628,999",99.7%
121,Ghostbusters 2020 Re-release,"$620,883","$605,000",97.4%,"$15,883",2.6%
122,Synchronic,"$613,405","$613,405",100%,-,-
123,True to the Game 2,"$610,710","$610,710",100%,-,-
124,Alone,"$609,543","$537,589",88.2%,"$71,954",11.8%
125,Stevie Nicks 24 Karat Gold the Concert,"$596,905","$410,265",68.7%,"$186,640",31.3%
126,The Climb,"$592,461","$143,423",24.2%,"$449,038",75.8%
127,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
128,Never Too Late,"$564,892",-,-,"$564,892",100%
129,Black Panther 2020 Re-release,"$549,774","$367,000",66.8%,"$182,774",33.2%
130,Followed,"$548,608","$538,179",98.1%,"$10,429",1.9%
131,Beauty and the Beast 2020 Re-release,"$543,260","$467,000",86%,"$76,260",14%
132,Once Were Brothers: Robbie Robertson and the Band,"$536,534","$449,561",83.8%,"$86,973",16.2%
133,The Call,"$527,680","$515,831",97.8%,"$11,849",2.2%
134,The Big Ugly,"$515,399","$514,107",99.7%,"$1,292",0.3%
135,Spell,"$500,104","$500,104",100%,-,-
136,Summerland,"$486,218","$58,498",12%,"$427,720",88%
137,True History of the Kelly Gang,"$467,198","$33,817",7.2%,"$433,381",92.8%
138,Inside Out 2020 Re-release,"$460,176","$460,000",100%,$176,<0.1%
139,Burden,"$439,139","$139,270",31.7%,"$299,869",68.3%
140,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
141,Iron Man 2020 Re-release,"$430,000","$430,000",100%,-,-
142,Infamous,"$429,148","$429,148",100%,-,-
143,Guardians of the Galaxy 2020 Re-release,"$428,424","$406,000",94.8%,"$22,424",5.2%
144,Tulsa,"$412,269","$412,269",100%,-,-
145,Back to the Future 2020 Re-release,"$407,977","$247,000",60.5%,"$160,977",39.5%
146,She Dies Tomorrow,"$398,663","$398,663",100%,-,-
147,Fatima,"$368,600",-,-,"$368,600",100%
148,Yellow Rose,"$367,849","$367,849",100%,-,-
149,The Kid Detective,"$364,138","$364,138",100%,-,-
150,Tesla,"$345,229","$93,147",27%,"$252,082",73%
151,Irresistible,"$325,059",-,-,"$325,059",100%
152,Bohemian Rhapsody 2020 Re-release,"$320,550","$240,000",74.9%,"$80,550",25.1%
153,Sputnik,"$307,062","$18,853",6.1%,"$288,209",93.9%
154,Save Yourselves!,"$301,162","$301,162",100%,-,-
155,Gremlins 2020 Re-release,"$295,238","$295,000",99.9%,$238,<0.1%
156,Come Away,"$290,569","$126,081",43.4%,"$164,488",56.6%
157,Resistance,"$288,064","$7,464",2.6%,"$280,600",97.4%
158,The Dark and the Wicked,"$285,289","$110,618",38.8%,"$174,671",61.2%
159,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
160,The Secrets We Keep,"$278,618","$207,928",74.6%,"$70,690",25.4%
161,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
162,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
163,Never Rarely Sometimes Always,"$265,938","$16,565",6.2%,"$249,373",93.8%
164,Archive,"$242,195","$139,593",57.6%,"$102,602",42.4%
165,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
166,The Trip to Greece,"$237,473","$8,340",3.5%,"$229,133",96.5%
167,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
168,Shirley,"$230,441",-,-,"$230,441",100%
169,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
170,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
171,The Wolf of Snow Hollow,"$185,026","$185,026",100%,-,-
172,Six Minutes to Midnight,"$181,216",-,-,"$181,216",100%
173,Billie,"$177,602",-,-,"$177,602",100%
174,Elf 2020 Re-release,"$173,568","$173,568",100%,-,-
175,We Summon the Darkness,"$168,473","$60,794",36.1%,"$107,679",63.9%
176,The Comeback Trail,"$167,818",-,-,"$167,818",100%
177,Grease 2020 Re-release,"$166,123","$102,000",61.4%,"$64,123",38.6%
178,Cruel Peter,"$163,925",-,-,"$163,925",100%
179,Halloween 2020 Re-release,"$160,000","$160,000",100%,-,-
180,A Call to Spy,"$157,736","$151,929",96.3%,"$5,807",3.7%
181,The Booksellers,"$157,383","$25,694",16.3%,"$131,689",83.7%
182,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
183,I Am Woman,"$152,987",-,-,"$152,987",100%
184,Wendy,"$144,564","$143,518",99.3%,"$1,046",0.7%
185,The Silencing,"$141,479","$100,746",71.2%,"$40,733",28.8%
186,Fatman,"$141,235","$141,235",100%,-,-
187,Incitement,"$140,306","$140,306",100%,-,-
188,Most Wanted,"$138,000","$138,000",100%,-,-
189,Beneath Us,"$137,260","$137,260",100%,-,-
190,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
191,Lucky Grandma,"$126,169","$102,000",80.8%,"$24,169",19.2%
192,Only,"$125,603",-,-,"$125,603",100%
193,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
194,Come to Daddy,"$117,947","$96,713",82%,"$21,234",18%
195,Heaven,"$111,232","$111,232",100%,-,-
196,Miss Juneteenth,"$105,908","$92,349",87.2%,"$13,559",12.8%
197,The Roads Not Taken,"$105,439","$3,518",3.3%,"$101,921",96.7%
198,First Cow,"$101,068","$101,068",100%,-,-
199,First Lady,"$93,298","$93,298",100%,-,-
200,Max Winslow and the House of Secrets,"$89,532","$31,250",34.9%,"$58,282",65.1%
201,Ammonite,"$87,552","$87,552",100%,-,-
202,On the Basis of Sex 2020 Re-release,"$82,150","$82,150",100%,-,-
203,Nomad: In the Footsteps of Bruce Chatwin,"$78,100",-,-,"$78,100",100%
204,Come and See 2020 Re-release,"$71,909","$71,909",100%,-,-
205,How to Build a Girl,"$70,632","$70,632",100%,-,-
206,Nick Mason's Saucerful of Secrets: Live at the Roundhouse,"$69,967","$32,444",46.4%,"$37,523",53.6%
207,Pray: The Story of Patrick Peyton,"$67,814","$67,814",100%,-,-
208,All My Life,"$65,852",-,-,"$65,852",100%
209,My Brothers' Crossing,"$59,395","$59,395",100%,-,-
210,Saint Frances,"$59,257","$44,330",74.8%,"$14,927",25.2%
211,A Simple Wedding,"$54,415","$54,415",100%,-,-
212,Miss Fisher & the Crypt of Tears Special Screenings,"$51,158","$51,032",99.8%,$126,0.2%
213,House of Cardin,"$50,659",-,-,"$50,659",100%
214,Henchmen 2020 Re-release,"$49,676","$49,676",100%,-,-
215,The Way I See It,"$49,030","$49,030",100%,-,-
216,VHYes,"$47,037","$47,037",100%,-,-
217,Enter the Fat Dragon,"$46,855","$46,855",100%,-,-
218,Spree,"$43,840","$28,771",65.6%,"$15,069",34.4%
219,Juvenile Delinquents,"$39,455","$34,292",86.9%,"$5,163",13.1%
220,Three Christs,"$36,723","$36,723",100%,-,-
221,Tread,"$36,527","$36,527",100%,-,-
222,Waiting for Anya,"$36,404",-,-,"$36,404",100%
223,RBG 2020 Re-release,"$34,000","$34,000",100%,-,-
224,Rent-A-Pal,"$31,053","$30,901",99.5%,$152,0.5%
225,After Parkland,"$30,444","$30,444",100%,-,-
226,Olympic Dreams,"$29,450","$29,450",100%,-,-
227,Buffaloed,"$29,118","$29,118",100%,-,-
228,Abe,"$28,657",-,-,"$28,657",100%
229,Cane River 2020 Re-release,"$27,317","$27,317",100%,-,-
230,José,"$26,563","$26,563",100%,-,-
231,Unsubscribe,"$25,488","$25,488",100%,-,-
232,Disappearance at Clifton Hill,"$25,084","$25,084",100%,-,-
233,Stage Mother,"$24,736",-,-,"$24,736",100%
234,The Trial of the Chicago 7,"$24,357",-,-,"$24,357",100%
235,Heart of Africa,"$24,139","$24,139",100%,-,-
236,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
237,Premature,"$23,071","$23,071",100%,-,-
238,L'Innocente,"$22,549","$22,549",100%,-,-
239,Tar,"$22,307","$22,307",100%,-,-
240,The Pale Door,"$21,166",-,-,"$21,166",100%
241,Lore,"$20,006","$20,006",100%,-,-
242,Foster Boy,"$19,873","$19,873",100%,-,-
243,She Is the Ocean,"$19,394","$18,828",97.1%,$566,2.9%
244,Mandy 2020 Re-release,"$19,169","$19,169",100%,-,-
245,Shithouse,"$18,370","$18,370",100%,-,-
246,Made in Hong Kong,"$17,843","$17,843",100%,-,-
247,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
248,Advocate,"$16,942","$16,942",100%,-,-
249,Centigrade,"$16,263","$16,263",100%,-,-
250,Straight Up,"$16,080","$16,080",100%,-,-
251,The Bay of Silence,"$15,889","$1,941",12.2%,"$13,948",87.8%
252,Counter Column,"$15,529","$15,529",100%,-,-
253,American Deep State,"$15,269","$15,269",100%,-,-
254,"I Was at Home, But...","$14,078","$14,078",100%,-,-
255,Killer Raccoons! 2! Dark Christmas in the Dark!,"$12,382","$12,382",100%,-,-
256,The Grizzlies,"$11,650","$11,650",100%,-,-
257,Powerbomb,"$11,319","$11,319",100%,-,-
258,Draupadi Unleashed,"$11,317","$11,317",100%,-,-
259,Lost in America,"$11,301","$11,301",100%,-,-
260,You Go to My Head,"$10,682","$10,682",100%,-,-
261,Coded Bias,"$10,236","$10,236",100%,-,-
262,Guest Artist,"$10,017","$10,017",100%,-,-
263,Foosballers,"$9,966","$9,966",100%,-,-
264,Just One More Kiss,"$9,130","$9,130",100%,-,-
265,Kindred,"$8,921","$8,921",100%,-,-
266,LX 2048,"$8,393",-,-,"$8,393",100%
267,Inside the Rain,"$8,140","$8,140",100%,-,-
268,The Wave,"$8,101","$8,101",100%,-,-
269,I AM PATRICK,"$7,880",-,-,"$7,880",100%
270,Dreaming Grand Avenue,"$7,789","$7,789",100%,-,-
271,Valley Girl,"$7,671",-,-,"$7,671",100%
272,The Other Lamb,"$7,385","$6,024",81.6%,"$1,361",18.4%
273,I Am Lisa,"$6,986","$6,986",100%,-,-
274,What We Found,"$6,976","$6,976",100%,-,-
275,12 Hour Shift,"$6,820","$6,820",100%,-,-
276,Human Capital,"$6,596","$6,596",100%,-,-
277,Afterward,"$6,477","$6,477",100%,-,-
278,Lie Exposed,"$5,775","$5,775",100%,-,-
279,In the Life of Music,"$5,772","$5,772",100%,-,-
280,Sex and the Future,"$5,745","$5,745",100%,-,-
281,Find Your Voice,"$5,560","$5,560",100%,-,-
282,Still Here,"$5,268","$5,268",100%,-,-
283,Ottolenghi and the Cakes of Versailles,"$4,962","$4,962",100%,-,-
284,King's Gambit,"$3,816","$3,816",100%,-,-
285,Bang! Bang!,"$2,658","$2,658",100%,-,-
286,Moondance,"$2,371","$2,371",100%,-,-
287,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
288,Goldie,"$2,302","$2,302",100%,-,-
289,The Transcendents,"$2,041","$2,041",100%,-,-
290,Gul Makai,"$2,035",-,-,"$2,035",100%
291,The Shade Shepherd,"$1,781","$1,781",100%,-,-
292,The Fox Hunter,"$1,577","$1,577",100%,-,-
293,Fear Pharm,"$1,157","$1,157",100%,-,-
294,The Father,"$1,141",-,-,"$1,141",100%
295,Hai Tang Hong,"$1,107","$1,107",100%,-,-
296,Greater 2020 Re-release,$527,$527,100%,-,-
297,Spaceship Earth,$362,-,-,$362,100%
