Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,132,912","$372,755",<0.1%,"$460,760,157",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$353,700,000","$56,300,000",15.9%,"$297,400,000",84.1%
4,Sonic the Hedgehog,"$319,104,189","$146,066,470",45.8%,"$173,037,719",54.2%
5,Dolittle,"$245,229,574","$77,047,065",31.4%,"$168,182,509",68.6%
6,Legend of Deification,"$240,581,901","$214,670",<0.1%,"$240,367,231",99.9%
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
8,Onward,"$141,517,253","$61,555,145",43.5%,"$79,962,108",56.5%
9,The Invisible Man,"$130,560,433","$64,914,050",49.7%,"$65,646,383",50.3%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$66,800,000",-,-,"$66,800,000",100%
12,Vanguard,"$49,656,971",-,-,"$49,656,971",100%
13,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
14,After We Collided,"$47,984,832","$2,380,901",5%,"$45,603,931",95%
15,The New Mutants,"$45,863,139","$23,771,361",51.8%,"$22,091,778",48.2%
16,Unhinged,"$42,831,465","$20,831,465",48.6%,"$22,000,000",51.4%
17,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
18,Train to Busan Presents: Peninsula,"$38,700,977","$1,231,407",3.2%,"$37,469,570",96.8%
19,Greenland,"$38,100,000",-,-,"$38,100,000",100%
20,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
21,Trolls World Tour,"$34,572,374",-,-,"$34,572,374",100%
22,Bloodshot,"$33,482,340","$12,561,824",37.5%,"$20,920,516",62.5%
23,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
24,Leap,"$25,780,959","$83,074",0.3%,"$25,697,885",99.7%
25,Emma.,"$25,645,655","$10,055,355",39.2%,"$15,590,300",60.8%
26,Scoob!,"$24,700,000",-,-,"$24,700,000",100%
27,Honest Thief,"$24,626,787","$12,558,569",51%,"$12,068,218",49%
28,The War with Grandpa,"$23,576,325","$15,449,198",65.5%,"$8,127,127",34.5%
29,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
30,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
31,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
32,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
33,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$18,650,994",-,-,"$18,650,994",100%
34,Digimon Adventure: Last Evolution Kizuna,"$17,040,162",-,-,"$17,040,162",100%
35,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
36,I Still Believe,"$15,756,972","$9,868,521",62.6%,"$5,888,451",37.4%
37,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
38,The Personal History of David Copperfield,"$14,056,678","$1,876,298",13.3%,"$12,180,380",86.7%
39,The Witches,"$13,400,000",-,-,"$13,400,000",100%
40,The Hunt,"$10,891,670","$5,812,500",53.4%,"$5,079,170",46.6%
41,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
42,My Spy,"$10,200,000",-,-,"$10,200,000",100%
43,Come Play,"$9,435,603","$7,504,665",79.5%,"$1,930,938",20.5%
44,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
45,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
46,Malang,"$8,399,765",-,-,"$8,399,765",100%
47,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
48,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
49,Let Him Go,"$7,291,152","$7,219,300",99%,"$71,852",1%
50,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
51,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
52,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
53,Freaky,"$6,218,295","$4,372,295",70.3%,"$1,846,000",29.7%
54,Bill & Ted Face the Music,"$6,202,513","$3,439,660",55.5%,"$2,762,853",44.5%
55,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
56,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
57,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
58,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
59,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
60,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
61,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
62,The Broken Hearts Gallery,"$4,753,131","$4,067,442",85.6%,"$685,689",14.4%
63,The Wretched,"$4,314,507","$1,814,193",42%,"$2,500,314",58%
64,Military Wives,"$4,217,455",-,-,"$4,217,455",100%
65,No Escape,"$4,215,955","$167,962",4%,"$4,047,993",96%
66,Infidel,"$4,051,136","$4,051,136",100%,-,-
67,100% Wolf,"$3,917,529","$421,216",10.8%,"$3,496,313",89.2%
