Rank,Release Group,Worldwide,Domestic,Foreign,filename,Year,Domestic %,Foreign %
50,The Hunger Games: Catching Fire,865011746,424668047,440343699,movies-2013.csv,2013,0.490939052520103,0.5090609474798969
51,Guardians of the Galaxy Vol. 2,863756051,389813101,473942950,movies-2017.csv,2017,0.4512999944240043,0.5487000055759956
52,Inside Out,857611174,356461711,501149463,movies-2015.csv,2015,0.4156449004009829,0.5843550995990171
53,Venom,856085151,213515506,642569645,movies-2018.csv,2018,0.24940919224050412,0.7505908077594958
54,Thor: Ragnarok,853977126,315058289,538918837,movies-2017.csv,2017,0.36893059475225337,0.6310694052477467
55,The Twilight Saga: Breaking Dawn - Part 2,829746820,292324737,537422083,movies-2012.csv,2012,0.35230594436023266,0.6476940556397673
56,Wonder Woman,821847012,412563408,409283604,movies-2017.csv,2017,0.501995385973369,0.49800461402663104
57,Fantastic Beasts and Where to Find Them,814037575,234037575,580000000,movies-2016.csv,2016,0.287502177034027,0.7124978229659731
58,Coco,807816196,210460015,597356181,movies-2017.csv,2017,0.2605295809147159,0.7394704190852841
59,Jumanji: The Next Level,800059707,320314960,479744747,movies-2019.csv,2019,0.4003638193467978,0.5996361806532021
60,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,172558876,622302918,movies-2017.csv,2017,0.21709293024593404,0.782907069754066
61,Mission: Impossible - Fallout,791115104,220159104,570956000,movies-2018.csv,2018,0.27828959766643513,0.7217104023335649
62,Fast & Furious 6,788679850,238679850,550000000,movies-2013.csv,2013,0.30263211365169274,0.6973678863483073
63,Deadpool,782612155,363070709,419541446,movies-2016.csv,2016,0.463921633059737,0.536078366940263
64,Guardians of the Galaxy,772776600,333176600,439600000,movies-2014.csv,2014,0.4311421955581988,0.5688578044418011
65,Fast & Furious Presents: Hobbs & Shaw,759056935,173956935,585100000,movies-2019.csv,2019,0.22917508157671992,0.77082491842328
66,Maleficent,758410378,241410378,517000000,movies-2014.csv,2014,0.31831101604466705,0.681688983955333
67,The Amazing Spider-Man,757930663,262030663,495900000,movies-2012.csv,2012,0.34571851462354675,0.6542814853764533
68,The Hunger Games: Mockingjay - Part 1,755356711,337135885,418220826,movies-2014.csv,2014,0.44632672231596815,0.5536732776840319
69,Madagascar 3: Europe's Most Wanted,746921274,216391482,530529792,movies-2012.csv,2012,0.2897112313338661,0.7102887686661339
70,Suicide Squad,746846894,325100054,421746840,movies-2016.csv,2016,0.43529678788488074,0.5647032121151193
71,X-Men: Days of Future Past,746045700,233921534,512124166,movies-2014.csv,2014,0.3135485319465014,0.6864514680534985
72,Monsters University,743559607,268492764,475066843,movies-2013.csv,2013,0.3610911102114238,0.6389088897885762
73,Deadpool 2,734546611,318491426,416055185,movies-2018.csv,2018,0.43358912998919275,0.5664108700108073
74,Ne Zha,726063471,3695533,722367938,movies-2019.csv,2019,0.005089820859476899,0.9949101791405232
75,Gravity,723192705,274092705,449100000,movies-2013.csv,2013,0.37900369169238235,0.6209963083076177
76,Captain America: The Winter Soldier,714421503,259766572,454654931,movies-2014.csv,2014,0.3636040781376089,0.6363959218623911
77,The Twilight Saga: Breaking Dawn - Part 1,712205856,281287133,430918723,movies-2011.csv,2011,0.394952008089077,0.6050479919109231
78,Dawn of the Planet of the Apes,710644566,208545589,502098977,movies-2014.csv,2014,0.29345976734028806,0.7065402326597119
79,The Amazing Spider-Man 2,708982323,202853933,506128390,movies-2014.csv,2014,0.28611987410580336,0.7138801258941967
80,It,700381748,327481748,372900000,movies-2017.csv,2017,0.4675760739555994,0.5324239260444006
81,The Wandering Earth,699856699,5971413,693885286,movies-2019.csv,2019,0.008532336703402763,0.9914676632965972
82,Mission: Impossible - Ghost Protocol,694713380,209397903,485315477,movies-2011.csv,2011,0.3014162516921727,0.6985837483078273
83,The Hunger Games,694394724,408010692,286384032,movies-2012.csv,2012,0.5875774655223331,0.4124225344776669
84,Mission: Impossible - Rogue Nation,682714267,195042377,487671890,movies-2015.csv,2015,0.2856866868434727,0.7143133131565274
85,Interstellar,677896797,188020017,489876780,movies-2014.csv,2014,0.2773578778245798,0.7226421221754201
86,Doctor Strange,677718395,232641920,445076475,movies-2016.csv,2016,0.3432722524817996,0.6567277475182004
87,Man of Steel,668045518,291045518,377000000,movies-2013.csv,2013,0.4356671965577052,0.5643328034422948
88,Kung Fu Panda 2,665692281,165249063,500443218,movies-2011.csv,2011,0.24823641150196843,0.7517635884980316
89,The Hunger Games: Mockingjay - Part 2,658344137,281723902,376620235,movies-2015.csv,2015,0.4279280184430351,0.5720719815569649
90,Justice League,657924295,229024295,428900000,movies-2017.csv,2017,0.3481012887660578,0.6518987112339422
91,Big Hero 6,657827828,222527828,435300000,movies-2014.csv,2014,0.33827670178769026,0.6617232982123098
92,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,495300000,movies-2018.csv,2018,0.24365039813545178,0.7563496018645482
93,Thor: The Dark World,644783140,206362140,438421000,movies-2013.csv,2013,0.32004890822672566,0.6799510917732744
94,Moana,643331111,248757044,394574067,movies-2016.csv,2016,0.38667031602642327,0.6133296839735767
95,Sing,634151679,270395425,363756254,movies-2016.csv,2016,0.42638919670825315,0.5736108032917469
96,The Martian,630161890,228433663,401728227,movies-2015.csv,2015,0.36249996488997455,0.6375000351100255
97,Fast Five,626137675,209837675,416300000,movies-2011.csv,2011,0.33513024911014977,0.6648697508898502
98,Men in Black 3,624026776,179020854,445005922,movies-2012.csv,2012,0.2868800841328001,0.7131199158671999
99,Ant-Man and the Wasp,622674139,216648740,406025399,movies-2018.csv,2018,0.3479327732285988,0.6520672267714012
